Title,Year,Rating,Plot,Genre
The Substance,2024,7.8,"A fading celebrity takes a black-market drug: a cell-replicating substance that temporarily creates a younger, better version of herself.",horror
Salem's Lot,2024,5.7,"An author returns to his hometown of Jerusalem's Lot in search of inspiration for his next book, only to discover that the townspeople are being attacked by a bloodthirsty vampire.",horror
From,2022–,7.8,"Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normality and seek a way out, they must also survive the threats of the surrounding forest.",horror
Beetlejuice Beetlejuice,2024,6.9,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",horror
Speak No Evil,2024,6.9,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them.",horror
The Platform 2,2024,5.0,"A thrilling physical journey that allows an approach to the darkness, where it is scary to look. It appeals to the viewer's civil responsibility and forces them to face the limits of their own solidarity.",horror
Grotesquerie,2024–,6.7,"A detective and a nun investigate a series of heinous crimes that seem personal, while grappling with personal issues and uncovering a sinister web that raises more questions than answers.",horror
Teacup,2024–,6.9,"Trapped on a farm in rural Georgia, a group of neighbors must put aside their differences and unite in the face of a mysterious and deadly threat.",horror
Terrifier,2016,5.6,A maniac named Art the Clown terrorizes two friends on Halloween and everyone who gets in his way.,horror
Terrifier 2,2022,6.1,"After being resurrected by a sinister entity, Art the Clown returns to the timid town of Miles County where he targets a teenage girl and her younger brother on Halloween night.",horror
Hellboy: The Crooked Man,2024,4.5,"Hellboy and a rookie B.P.R.D. agent in the 1950s are sent to the Appalachians, where they discover a remote community dominated by witches and led by the sinister local demon, the Crooked Man.",horror
Yellowjackets,2021–,7.8,A wildly talented girls high school soccer team become the unlucky survivors of a plane crash deep in the Canadian wilderness.,horror
The Platform,2019,7.0,"In a prison where inmates are fed on a descending platform, those on the upper levels take more than their fair share while those below are left to starve on scraps and one man decides to change the system.",horror
Strange Darling,2023,7.2,Nothing is what it seems when a twisted one-night stand spirals into a serial killer's vicious murder spree.,horror
V/H/S/Beyond,2024,6.0,"Six bloodcurdling tapes unleash horror in a sci-fi inspired hellscape, pushing the boundaries of fear and suspense.",horror
Hold Your Breath,2024,5.3,"In 1930s Oklahoma amid the region's horrific dust storms, a woman is convinced that a sinister presence is threatening her family.",horror
Azrael,2024,5.5,"In a world where no one speaks, a devout female-led community hunts down a young woman who has escaped imprisonment. Recaptured, Azrael is due to be sacrificed to an ancient evil in the wilderness, but fights for her own survival.",horror
The Walking Dead,2010–2022,8.1,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,horror
Longlegs,2024,6.7,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",horror
Supernatural,2005–2020,8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth.",horror
Stranger Things,2016–2025,8.7,"In 1980s Indiana, a group of young friends witness supernatural forces and secret government exploits. As they search for answers, the children unravel a series of extraordinary mysteries.",horror
Salem's Lot,1979,6.7,A novelist and a young horror fan attempt to save a small New England town which has been invaded by vampires.,horror
American Horror Story,2011–,8.0,"An anthology series centering on different characters and locations, showcasing different aspects of horror.",horror
Joker: Folie à Deux,2024,5.3,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital.",musical
Emilia Pérez,2024,7.4,"In Mexico, a lawyer receives an unexpected offer to help a feared cartel boss retire from his business and disappear forever by becoming the woman he's always dreamed of being.",musical
Wicked,2024,N/A,"After two decades as one of the most beloved and enduring musicals on the stage, Wicked makes its long-awaited journey to the big screen as a spectacular, generation-defining two-part cinematic event this holiday season.",musical
Piece by Piece,2024,7.4,"A vibrant journey through the life of Pharrell Williams, told through the lens of LEGO animation.",musical
The Nightmare Before Christmas,1993,7.9,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",musical
Sing,2016,7.1,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",musical
The Little Mermaid,2023,7.2,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.,musical
Moana 2,2024,N/A,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she has ever faced.",musical
Corpse Bride,2005,7.4,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",musical
The Rocky Horror Picture Show,1975,7.4,A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter.,musical
Descendants: The Rise of Red,2024,4.7,"Follows Red, daughter of the Queen of Hearts, and Chloe, daughter of Cinderella, as they team up to save Auradon by traveling back in time using the White Rabbit's pocket watch, to stop an event that would cause grave consequences.",musical
Sing 2,2021,7.3,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,musical
Grease,1978,7.2,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",musical
The Wizard of Oz,1939,8.1,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",musical
Wonka,2023,7.0,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers.",musical
Glee,2009–2015,6.8,A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.,musical
La La Land,2016,8.0,"When Sebastian, a pianist, and Mia, an actress, follow their passion and achieve success in their respective fields, they find themselves torn between their love for each other and their careers.",musical
